unique_id,is_legendary
602,0.0
756,0.0
191,0.0
16,0.0
718,0.0
578,0.0
226,0.0
719,0.0
229,0.0
96,0.0
768,0.0
300,0.0
11,0.0
692,0.0
154,0.0
74,0.0
770,0.0
62,0.0
276,0.0
306,0.0
544,0.0
166,0.0
721,0.0
670,0.0
75,0.0
274,0.0
538,0.0
77,0.0
722,0.0
6,0.0
394,0.0
469,0.0
320,0.0
270,0.0
264,0.0
412,0.0
539,0.0
468,0.0
345,0.0
365,0.0
550,0.0
608,0.0
408,0.0
8,0.0
624,0.0
115,0.0
144,0.0
489,0.0
174,0.0
645,0.0
97,0.0
763,0.0
471,0.0
173,0.0
247,0.0
409,0.0
192,0.0
155,0.0
788,0.0
583,0.0
326,0.0
654,0.0
796,0.0
472,0.0
389,0.0
535,0.0
751,0.0
143,0.0
358,0.0
309,0.0
283,0.0
705,0.0
570,0.0
341,0.0
474,0.0
370,0.0
660,0.0
254,0.0
435,0.0
78,0.0
515,0.0
431,0.0
104,0.0
22,0.0
562,0.0
212,0.0
532,0.0
63,0.0
710,0.0
593,0.0
153,0.0
542,0.0
434,0.0
694,0.0
726,0.0
703,0.0
67,0.0
473,0.0
224,0.0
353,0.0
248,0.0
601,0.0
680,0.0
354,0.0
775,0.0
209,0.0
68,0.0
639,0.0
118,0.0
55,0.0
76,0.0
410,0.0
567,0.0
294,0.0
512,0.0
302,0.0
142,0.0
200,0.0
50,0.0
53,0.0
464,0.0
556,0.0
72,0.0
313,0.0
612,0.0
426,0.0
241,0.0
221,0.0
430,0.0
38,0.0
440,0.0
87,0.0
439,0.0
121,0.0
375,1.0
615,0.0
149,0.0
367,0.0
26,0.0
360,0.0
159,0.0
265,0.0
526,0.0
606,0.0
551,0.0
613,0.0
243,0.0
671,0.0
771,0.0
28,0.0
88,0.0
495,0.0
596,0.0
156,0.0
780,0.0
203,0.0
626,0.0
565,0.0
208,0.0
335,0.0
500,0.0
45,0.0
797,0.0
610,0.0
761,0.0
329,0.0
151,0.0
415,0.0
29,0.0
442,0.0
311,0.0
712,0.0
231,1.0
682,0.0
754,0.0
537,0.0
30,0.0
729,0.0
478,0.0
256,0.0
195,0.0
37,0.0
438,0.0
255,0.0
548,0.0
344,0.0
314,0.0
635,0.0
529,0.0
204,0.0
653,0.0
223,0.0
675,0.0
393,0.0
180,0.0
122,0.0
730,0.0
791,0.0
543,0.0
764,0.0
743,0.0
312,0.0
643,0.0
794,0.0
685,0.0
152,0.0
516,0.0
32,0.0
521,0.0
577,0.0
552,0.0
753,0.0
599,0.0
525,0.0
628,0.0
373,0.0
7,0.0
716,0.0
795,0.0
707,1.0
564,0.0
263,0.0
699,0.0
245,0.0
790,0.0
744,0.0
749,0.0
678,0.0
700,0.0
741,0.0
172,0.0
364,0.0
133,0.0
681,0.0
253,0.0
35,0.0
617,0.0
222,0.0
428,0.0
427,0.0
296,0.0
455,0.0
386,0.0
301,0.0
668,1.0
558,0.0
390,0.0
322,0.0
498,0.0
219,0.0
588,0.0
95,0.0
555,0.0
197,1.0
800,0.0
34,0.0
688,0.0
766,0.0
659,0.0
165,0.0
641,0.0
49,0.0
170,0.0
636,0.0
321,1.0
637,0.0
779,0.0
720,0.0
368,0.0
493,0.0
205,0.0
116,0.0
73,0.0
258,0.0
557,0.0
463,1.0
518,0.0
724,0.0
504,0.0
319,0.0
691,0.0
